Sentence (Input),Label,Correct Sentence (Output)
ඇය ඉපදුනේ කවද්ද?.,Incorrect,ඇය ඉපදුනේ කවද්ද?.
ප්‍රශ්නය කුමක් ද?.,Correct,ප්‍රශ්නය කුමක් ද?.
ද?. කුමක් ප්‍රශ්නය,Incorrect,ප්‍රශ්නය කුමක් ද?.
මොකක්ද ඒ ශබ්දය?.,Correct,මොකක්ද ඒ ශබ්දය?.
මොකක්ද ශබ්දය?. ඒ,Incorrect,මොකක්ද ඒ ශබ්දය?.
ඔබට හොඳක් දැනෙනවාද?.,Correct,ඔබට හොඳක් දැනෙනවාද?.
හොඳක් ඔබට දැනෙනවාද?.,Incorrect,ඔබට හොඳක් දැනෙනවාද?.
ඇය මගේ අදහසට එකඟ වුණා.,Correct,ඇය මගේ අදහසට එකඟ වුණා.
වුණා. අදහසට එකඟ මගේ ඇය,Incorrect,ඇය මගේ අදහසට එකඟ වුණා.
ඇය මගේ අදහසට එකඟ වුණා.,Correct,ඇය මගේ අදහසට එකඟ වුණා.
ඇය වුණා. අදහසට එකඟ මගේ,Incorrect,ඇය මගේ අදහසට එකඟ වුණා.
අපි එන්නේ කවදාද?.,Correct,අපි එන්නේ කවදාද?.
එන්නේ කවදාද?. අපි,Incorrect,අපි එන්නේ කවදාද?.
ඔයා කොහේද යන්නේ?.,Correct,ඔයා කොහේද යන්නේ?.
ඔයා කොහේද යන්නේ?.,Incorrect,ඔයා කොහේද යන්නේ?.
වැව කොතරම් ගැඹුරුද?.,Correct,වැව කොතරම් ගැඹුරුද?.
වැව කොතරම් ගැඹුරුද?.,Incorrect,වැව කොතරම් ගැඹුරුද?.
හැමදේටම ස්තුතියි.,Correct,හැමදේටම ස්තුතියි.
හැමදේටම ස්තුතියි.,Incorrect,හැමදේටම ස්තුතියි.
ඔබගේ ගමනානාන්තය කොහෙද?.,Correct,ඔබගේ ගමනානාන්තය කොහෙද?.
කොහෙද?. ඔබගේ ගමනානාන්තය,Incorrect,ඔබගේ ගමනානාන්තය කොහෙද?.
මම ඔයාට හොගාක් ආදරෙයි.,Correct,මම ඔයාට හොගාක් ආදරෙයි.
හොගාක් ආදරෙයි. මම ඔයාට,Incorrect,මම ඔයාට හොගාක් ආදරෙයි.
මොකක් හරි අවුලක්ද?.,Correct,මොකක් හරි අවුලක්ද?.
හරි අවුලක්ද?. මොකක්,Incorrect,මොකක් හරි අවුලක්ද?.
අපි එන්නේ කවදාද?.,Correct,අපි එන්නේ කවදාද?.
කවදාද?. අපි එන්නේ,Incorrect,අපි එන්නේ කවදාද?.
මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.,Correct,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.
එල්ලී මිනිසෙක් ධාවනය මොටර් රථයක සිටියි. වන,Incorrect,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.
වැව කොතරම් ගැඹුරුද?.,Correct,වැව කොතරම් ගැඹුරුද?.
කොතරම් ගැඹුරුද?. වැව,Incorrect,වැව කොතරම් ගැඹුරුද?.
ගොඩක් සල්ලි තියෙනවා.,Correct,ගොඩක් සල්ලි තියෙනවා.
තියෙනවා. සල්ලි ගොඩක්,Incorrect,ගොඩක් සල්ලි තියෙනවා.
ඔයාට ඕන කුමක් ද?.,Correct,ඔයාට ඕන කුමක් ද?.
කුමක් ඕන ඔයාට ද?.,Incorrect,ඔයාට ඕන කුමක් ද?.
ඔයා කොහේ සිට ද?.,Correct,ඔයා කොහේ සිට ද?.
කොහේ ද?. ඔයා සිට,Incorrect,ඔයා කොහේ සිට ද?.
ඔයා කොහේද යන්නේ?.,Correct,ඔයා කොහේද යන්නේ?.
කොහේද ඔයා යන්නේ?.,Incorrect,ඔයා කොහේද යන්නේ?.
මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි.,Correct,මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි.
බටයකින් වතුර රථ කාර් මෝටර් යාන්ත්‍රිකයෙක් වෙතට පහරක් කරයි. එල්ල උවසුන එකක,Incorrect,මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි.
අපි ඇවිදින්න පටන් ගත්තා.,Correct,අපි ඇවිදින්න පටන් ගත්තා.
ගත්තා. පටන් ඇවිදින්න අපි,Incorrect,අපි ඇවිදින්න පටන් ගත්තා.
ඔබේ කාමරය කොහෙද?.,Correct,ඔබේ කාමරය කොහෙද?.
ඔබේ කොහෙද?. කාමරය,Incorrect,ඔබේ කාමරය කොහෙද?.
අපිට සල්ලි ටිකක් ඕන.,Correct,අපිට සල්ලි ටිකක් ඕන.
ටිකක් අපිට ඕන. සල්ලි,Incorrect,අපිට සල්ලි ටිකක් ඕන.
මට ඒ ගැන හිතන්න දෙන්න.,Correct,මට ඒ ගැන හිතන්න දෙන්න.
හිතන්න මට ගැන ඒ දෙන්න.,Incorrect,මට ඒ ගැන හිතන්න දෙන්න.
අපි කවදාවත් එකඟ වෙන්නේ නැහැ.,Correct,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
වෙන්නේ අපි කවදාවත් එකඟ නැහැ.,Incorrect,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
හැමදේටම ස්තුතියි.,Correct,හැමදේටම ස්තුතියි.
හැමදේටම ස්තුතියි.,Incorrect,හැමදේටම ස්තුතියි.
ඔබේ ගැටලුව කුමක්ද?.,Correct,ඔබේ ගැටලුව කුමක්ද?.
කුමක්ද?. ගැටලුව ඔබේ,Incorrect,ඔබේ ගැටලුව කුමක්ද?.
මට කිසිවක් නොපෙනේ.,Correct,මට කිසිවක් නොපෙනේ.
කිසිවක් නොපෙනේ. මට,Incorrect,මට කිසිවක් නොපෙනේ.
කරුණාකර මට උදව් කරනවද?.,Correct,කරුණාකර මට උදව් කරනවද?.
කරනවද?. උදව් කරුණාකර මට,Incorrect,කරුණාකර මට උදව් කරනවද?.
ඔබ ලිපියක් ලියනවාද?.,Correct,ඔබ ලිපියක් ලියනවාද?.
ලියනවාද?. ඔබ ලිපියක්,Incorrect,ඔබ ලිපියක් ලියනවාද?.
ඔබට හොඳක් දැනෙනවාද?.,Correct,ඔබට හොඳක් දැනෙනවාද?.
දැනෙනවාද?. හොඳක් ඔබට,Incorrect,ඔබට හොඳක් දැනෙනවාද?.
පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.,Correct,පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.
පුද්ගලයෙක් කරයි. රථයක් මෝටර් පිරිසිදු,Incorrect,පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.
අපි හැමදාම උයනවා.,Correct,අපි හැමදාම උයනවා.
හැමදාම උයනවා. අපි,Incorrect,අපි හැමදාම උයනවා.
මම ඔයාට උදව් කරන්නේ කෙසේ ද?.,Correct,මම ඔයාට උදව් කරන්නේ කෙසේ ද?.
උදව් මම ද?. කරන්නේ කෙසේ ඔයාට,Incorrect,මම ඔයාට උදව් කරන්නේ කෙසේ ද?.
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.,Correct,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
යෙදෙයි. රථ ක්‍රීඩාවක මෝටර් මිනිසුන් දෙදෙනෙකු,Incorrect,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
කුමන නිවැරදිද?.,Correct,කුමන නිවැරදිද?.
කුමන නිවැරදිද?.,Incorrect,කුමන නිවැරදිද?.
මම ඔබට බාධා කරන්නේ නැහැ.,Correct,මම ඔබට බාධා කරන්නේ නැහැ.
ඔබට මම බාධා නැහැ. කරන්නේ,Incorrect,මම ඔබට බාධා කරන්නේ නැහැ.
වැව කොතරම් ගැඹුරුද?.,Correct,වැව කොතරම් ගැඹුරුද?.
වැව කොතරම් ගැඹුරුද?.,Incorrect,වැව කොතරම් ගැඹුරුද?.
කරුණාකර දොර වසන්න.,Correct,කරුණාකර දොර වසන්න.
වසන්න. කරුණාකර දොර,Incorrect,කරුණාකර දොර වසන්න.
ඒ ළමයා බුද්ධිමත්.,Correct,ඒ ළමයා බුද්ධිමත්.
ඒ ළමයා බුද්ධිමත්.,Incorrect,ඒ ළමයා බුද්ධිමත්.
අපි එකිනෙකාට ආදරෙයි.,Correct,අපි එකිනෙකාට ආදරෙයි.
එකිනෙකාට අපි ආදරෙයි.,Incorrect,අපි එකිනෙකාට ආදරෙයි.
ගංගාව කොහෙද?.,Correct,ගංගාව කොහෙද?.
කොහෙද?. ගංගාව,Incorrect,ගංගාව කොහෙද?.
ඔයා කොහේ ද?.,Correct,ඔයා කොහේ ද?.
ද?. කොහේ ඔයා,Incorrect,ඔයා කොහේ ද?.
මට ඔයාට කළ හැක්කේ කුමක් ද?.,Correct,මට ඔයාට කළ හැක්කේ කුමක් ද?.
මට ඔයාට කළ ද?. කුමක් හැක්කේ,Incorrect,මට ඔයාට කළ හැක්කේ කුමක් ද?.
මොකක්ද කතාව?.,Correct,මොකක්ද කතාව?.
කතාව?. මොකක්ද,Incorrect,මොකක්ද කතාව?.
ඔබේ කාමරය කොහෙද?.,Correct,ඔබේ කාමරය කොහෙද?.
කොහෙද?. කාමරය ඔබේ,Incorrect,ඔබේ කාමරය කොහෙද?.
මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.,Correct,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.
හඹා මෝටර්සයිකල් අනෙකා යයි. තරඟකරුවෙක් තරඟයකදී,Incorrect,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.
පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.,Correct,පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.
පිරිසිදු පුද්ගලයෙක් රථයක් කරයි. මෝටර්,Incorrect,පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.
ඔබ ලිපියක් ලියනවාද?.,Correct,ඔබ ලිපියක් ලියනවාද?.
ලිපියක් ලියනවාද?. ඔබ,Incorrect,ඔබ ලිපියක් ලියනවාද?.
අපිට සල්ලි ටිකක් ඕන.,Correct,අපිට සල්ලි ටිකක් ඕන.
අපිට ඕන. ටිකක් සල්ලි,Incorrect,අපිට සල්ලි ටිකක් ඕන.
මොකක් හරි අවුලක්ද?.,Correct,මොකක් හරි අවුලක්ද?.
මොකක් හරි අවුලක්ද?.,Incorrect,මොකක් හරි අවුලක්ද?.
මට හිතන එක නවත්තන්න බෑ.,Correct,මට හිතන එක නවත්තන්න බෑ.
හිතන එක නවත්තන්න බෑ. මට,Incorrect,මට හිතන එක නවත්තන්න බෑ.
මගේ පොත කොහෙද?.,Correct,මගේ පොත කොහෙද?.
කොහෙද?. මගේ පොත,Incorrect,මගේ පොත කොහෙද?.
කවුද මේක කැඩුවේ?.,Correct,කවුද මේක කැඩුවේ?.
කැඩුවේ?. කවුද මේක,Incorrect,කවුද මේක කැඩුවේ?.
මම මේ සතියේ ගොඩක් කාර්යබහුලයි.,Correct,මම මේ සතියේ ගොඩක් කාර්යබහුලයි.
මේ කාර්යබහුලයි. ගොඩක් මම සතියේ,Incorrect,මම මේ සතියේ ගොඩක් කාර්යබහුලයි.
ඔයාට අවශ්ය කුමක් ද?.,Correct,ඔයාට අවශ්ය කුමක් ද?.
ඔයාට අවශ්ය කුමක් ද?.,Incorrect,ඔයාට අවශ්ය කුමක් ද?.
දැන් ඇවිත් මාව බලන්න.,Correct,දැන් ඇවිත් මාව බලන්න.
බලන්න. දැන් ඇවිත් මාව,Incorrect,දැන් ඇවිත් මාව බලන්න.
කොහොමද ඔබගේ පවුලේ අය ගැන?.,Correct,කොහොමද ඔබගේ පවුලේ අය ගැන?.
පවුලේ අය ගැන?. ඔබගේ කොහොමද,Incorrect,කොහොමද ඔබගේ පවුලේ අය ගැන?.
කවුද මේක කැඩුවේ?.,Correct,කවුද මේක කැඩුවේ?.
මේක කවුද කැඩුවේ?.,Incorrect,කවුද මේක කැඩුවේ?.
ඇයි ඔබ අඬන්නේ?.,Correct,ඇයි ඔබ අඬන්නේ?.
ඇයි ඔබ අඬන්නේ?.,Incorrect,ඇයි ඔබ අඬන්නේ?.
කොහොමද ඔබගේ පවුලේ අය ගැන?.,Correct,කොහොමද ඔබගේ පවුලේ අය ගැන?.
ගැන?. අය කොහොමද ඔබගේ පවුලේ,Incorrect,කොහොමද ඔබගේ පවුලේ අය ගැන?.
ප්‍රශ්නය කුමක් ද?.,Correct,ප්‍රශ්නය කුමක් ද?.
කුමක් ද?. ප්‍රශ්නය,Incorrect,ප්‍රශ්නය කුමක් ද?.
අපට කන්න පුළුවන් කවදාද?.,Correct,අපට කන්න පුළුවන් කවදාද?.
කවදාද?. අපට පුළුවන් කන්න,Incorrect,අපට කන්න පුළුවන් කවදාද?.
ඔයාට තේරෙනව ද?.,Correct,ඔයාට තේරෙනව ද?.
තේරෙනව ද?. ඔයාට,Incorrect,ඔයාට තේරෙනව ද?.
කරුණාකර දොර වසන්න.,Correct,කරුණාකර දොර වසන්න.
දොර වසන්න. කරුණාකර,Incorrect,කරුණාකර දොර වසන්න.
ඔයා කොහේද යන්නේ?.,Correct,ඔයා කොහේද යන්නේ?.
යන්නේ?. කොහේද ඔයා,Incorrect,ඔයා කොහේද යන්නේ?.
එය කුමක් ද?.,Correct,එය කුමක් ද?.
ද?. එය කුමක්,Incorrect,එය කුමක් ද?.
අප යා යුත්තේ කොතැනටද?.,Correct,අප යා යුත්තේ කොතැනටද?.
යුත්තේ යා අප කොතැනටද?.,Incorrect,අප යා යුත්තේ කොතැනටද?.
ගොඩක් සල්ලි තියෙනවා.,Correct,ගොඩක් සල්ලි තියෙනවා.
ගොඩක් සල්ලි තියෙනවා.,Incorrect,ගොඩක් සල්ලි තියෙනවා.
ඔයාට තේරෙනව ද?.,Correct,ඔයාට තේරෙනව ද?.
ද?. තේරෙනව ඔයාට,Incorrect,ඔයාට තේරෙනව ද?.
ඔයාට කොහොම ද?.,Correct,ඔයාට කොහොම ද?.
කොහොම ද?. ඔයාට,Incorrect,ඔයාට කොහොම ද?.
මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.,Correct,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
මිනිසෙක් ඇති සිටියි. ඔසවා රථයක් සෝදමින් මෝටර්,Incorrect,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
ඔබ යන්න කැමතිද?.,Correct,ඔබ යන්න කැමතිද?.
ඔබ කැමතිද?. යන්න,Incorrect,ඔබ යන්න කැමතිද?.
ඔබට යමක් අවශ්යද?.,Correct,ඔබට යමක් අවශ්යද?.
යමක් ඔබට අවශ්යද?.,Incorrect,ඔබට යමක් අවශ්යද?.
මම ඒකට ගොඩක් කැමතියි.,Correct,මම ඒකට ගොඩක් කැමතියි.
ඒකට ගොඩක් මම කැමතියි.,Incorrect,මම ඒකට ගොඩක් කැමතියි.
ඔයා කොහේ සිට ද?.,Correct,ඔයා කොහේ සිට ද?.
ඔයා කොහේ සිට ද?.,Incorrect,ඔයා කොහේ සිට ද?.
මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.,Correct,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
ඔසවා ඇති සිටියි. රථයක් සෝදමින් මිනිසෙක් මෝටර්,Incorrect,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
ඔබේ කාමරය කොහෙද?.,Correct,ඔබේ කාමරය කොහෙද?.
කොහෙද?. ඔබේ කාමරය,Incorrect,ඔබේ කාමරය කොහෙද?.
ඔයා අද කරන්නේ කුමක් ද?.,Correct,ඔයා අද කරන්නේ කුමක් ද?.
ඔයා කරන්නේ ද?. කුමක් අද,Incorrect,ඔයා අද කරන්නේ කුමක් ද?.
ගෙදර ඉන්නවද?.,Correct,ගෙදර ඉන්නවද?.
ගෙදර ඉන්නවද?.,Incorrect,ගෙදර ඉන්නවද?.
ඔබට යමක් අවශ්යද?.,Correct,ඔබට යමක් අවශ්යද?.
යමක් ඔබට අවශ්යද?.,Incorrect,ඔබට යමක් අවශ්යද?.
මට කිසිවක් නොපෙනේ.,Correct,මට කිසිවක් නොපෙනේ.
කිසිවක් නොපෙනේ. මට,Incorrect,මට කිසිවක් නොපෙනේ.
ඔබ යම් අදහසක් තියෙනවද?.,Correct,ඔබ යම් අදහසක් තියෙනවද?.
යම් ඔබ අදහසක් තියෙනවද?.,Incorrect,ඔබ යම් අදහසක් තියෙනවද?.
අපි ඒක රස වින්දා.,Correct,අපි ඒක රස වින්දා.
රස වින්දා. අපි ඒක,Incorrect,අපි ඒක රස වින්දා.
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.,Correct,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
මිනිසුන් ක්‍රීඩාවක මෝටර් දෙදෙනෙකු රථ යෙදෙයි.,Incorrect,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
ඒ ළමයා බුද්ධිමත්.,Correct,ඒ ළමයා බුද්ධිමත්.
බුද්ධිමත්. ළමයා ඒ,Incorrect,ඒ ළමයා බුද්ධිමත්.
ඔයා කීවේ කුමක් ද?.,Correct,ඔයා කීවේ කුමක් ද?.
ඔයා කීවේ ද?. කුමක්,Incorrect,ඔයා කීවේ කුමක් ද?.
ඔබට යමක් අවශ්යද?.,Correct,ඔබට යමක් අවශ්යද?.
යමක් ඔබට අවශ්යද?.,Incorrect,ඔබට යමක් අවශ්යද?.
ඇය මගේ අදහසට එකඟ වුණා.,Correct,ඇය මගේ අදහසට එකඟ වුණා.
අදහසට මගේ ඇය එකඟ වුණා.,Incorrect,ඇය මගේ අදහසට එකඟ වුණා.
ඔබේ කාමරය කොහෙද?.,Correct,ඔබේ කාමරය කොහෙද?.
කොහෙද?. ඔබේ කාමරය,Incorrect,ඔබේ කාමරය කොහෙද?.
අපි කවදාවත් එකඟ වෙන්නේ නැහැ.,Correct,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
කවදාවත් වෙන්නේ අපි එකඟ නැහැ.,Incorrect,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
අපට කන්න පුළුවන් කවදාද?.,Correct,අපට කන්න පුළුවන් කවදාද?.
කවදාද?. පුළුවන් කන්න අපට,Incorrect,අපට කන්න පුළුවන් කවදාද?.
මම ඔබට බාධා කරන්නේ නැහැ.,Correct,මම ඔබට බාධා කරන්නේ නැහැ.
නැහැ. මම කරන්නේ ඔබට බාධා,Incorrect,මම ඔබට බාධා කරන්නේ නැහැ.
ඔබ ඉගෙන ගන්නේ කවදාද?.,Correct,ඔබ ඉගෙන ගන්නේ කවදාද?.
කවදාද?. ඔබ ගන්නේ ඉගෙන,Incorrect,ඔබ ඉගෙන ගන්නේ කවදාද?.
ගෙදර ඉන්නවද?.,Correct,ගෙදර ඉන්නවද?.
ගෙදර ඉන්නවද?.,Incorrect,ගෙදර ඉන්නවද?.
මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.,Correct,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
ඇති මිනිසෙක් රථයක් සිටියි. මෝටර් සෝදමින් ඔසවා,Incorrect,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
අපි කවදාවත් එකඟ වෙන්නේ නැහැ.,Correct,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
නැහැ. එකඟ අපි වෙන්නේ කවදාවත්,Incorrect,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
මම මේ සතියේ ගොඩක් කාර්යබහුලයි.,Correct,මම මේ සතියේ ගොඩක් කාර්යබහුලයි.
ගොඩක් සතියේ කාර්යබහුලයි. මේ මම,Incorrect,මම මේ සතියේ ගොඩක් කාර්යබහුලයි.
මම ඔයාට හොගාක් ආදරෙයි.,Correct,මම ඔයාට හොගාක් ආදරෙයි.
හොගාක් ආදරෙයි. ඔයාට මම,Incorrect,මම ඔයාට හොගාක් ආදරෙයි.
ඔයා අද කරන්නේ කුමක් ද?.,Correct,ඔයා අද කරන්නේ කුමක් ද?.
ඔයා කුමක් ද?. අද කරන්නේ,Incorrect,ඔයා අද කරන්නේ කුමක් ද?.
ඇයි ඔබ අඬන්නේ?.,Correct,ඇයි ඔබ අඬන්නේ?.
ඔබ ඇයි අඬන්නේ?.,Incorrect,ඇයි ඔබ අඬන්නේ?.
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.,Correct,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
අලුත් වැඩියා කරයි. මිනිසෙකු වාහනයක්,Incorrect,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
මම ඒකට ගොඩක් කැමතියි.,Correct,මම ඒකට ගොඩක් කැමතියි.
කැමතියි. ගොඩක් මම ඒකට,Incorrect,මම ඒකට ගොඩක් කැමතියි.
ඔයා කරන්නේ කුමක් ද?.,Correct,ඔයා කරන්නේ කුමක් ද?.
ද?. ඔයා කුමක් කරන්නේ,Incorrect,ඔයා කරන්නේ කුමක් ද?.
හැමදේටම ස්තුතියි.,Correct,හැමදේටම ස්තුතියි.
ස්තුතියි. හැමදේටම,Incorrect,හැමදේටම ස්තුතියි.
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.,Correct,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
මිනිසෙකු අලුත් කරයි. වාහනයක් වැඩියා,Incorrect,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
මට ඔයාව ගොඩක් මතක් වුණා.,Correct,මට ඔයාව ගොඩක් මතක් වුණා.
ඔයාව මතක් මට වුණා. ගොඩක්,Incorrect,මට ඔයාව ගොඩක් මතක් වුණා.
ඔබට බාධා කිරීම ගැන මට කණගාටුයි.,Correct,ඔබට බාධා කිරීම ගැන මට කණගාටුයි.
බාධා කණගාටුයි. ගැන මට ඔබට කිරීම,Incorrect,ඔබට බාධා කිරීම ගැන මට කණගාටුයි.
ඔබේ පවුලේ අය සමඟ එන්න.,Correct,ඔබේ පවුලේ අය සමඟ එන්න.
සමඟ ඔබේ පවුලේ එන්න. අය,Incorrect,ඔබේ පවුලේ අය සමඟ එන්න.
ගොඩක් සල්ලි තියෙනවා.,Correct,ගොඩක් සල්ලි තියෙනවා.
තියෙනවා. ගොඩක් සල්ලි,Incorrect,ගොඩක් සල්ලි තියෙනවා.
ඔයා කොහේ සිට ද?.,Correct,ඔයා කොහේ සිට ද?.
ඔයා කොහේ සිට ද?.,Incorrect,ඔයා කොහේ සිට ද?.
මම ඒකට ගොඩක් කැමතියි.,Correct,මම ඒකට ගොඩක් කැමතියි.
මම කැමතියි. ඒකට ගොඩක්,Incorrect,මම ඒකට ගොඩක් කැමතියි.
ඔයා මට ආදරේ ද?.,Correct,ඔයා මට ආදරේ ද?.
මට ද?. ආදරේ ඔයා,Incorrect,ඔයා මට ආදරේ ද?.
අපිට වෙනසක් කරන්න පුළුවන්.,Correct,අපිට වෙනසක් කරන්න පුළුවන්.
වෙනසක් පුළුවන්. කරන්න අපිට,Incorrect,අපිට වෙනසක් කරන්න පුළුවන්.
ඔයාට තේරෙනව ද?.,Correct,ඔයාට තේරෙනව ද?.
ඔයාට තේරෙනව ද?.,Incorrect,ඔයාට තේරෙනව ද?.
ඔයාගේ නම කුමක් ද.,Correct,ඔයාගේ නම කුමක් ද.
කුමක් ඔයාගේ ද. නම,Incorrect,ඔයාගේ නම කුමක් ද.
අප යා යුත්තේ කොතැනටද?.,Correct,අප යා යුත්තේ කොතැනටද?.
අප යා කොතැනටද?. යුත්තේ,Incorrect,අප යා යුත්තේ කොතැනටද?.
ඔයා කොහේ සිට ද?.,Correct,ඔයා කොහේ සිට ද?.
ඔයා ද?. කොහේ සිට,Incorrect,ඔයා කොහේ සිට ද?.
අපි හැමදාම උයනවා.,Correct,අපි හැමදාම උයනවා.
උයනවා. අපි හැමදාම,Incorrect,අපි හැමදාම උයනවා.
මම කෑම කමි,Correct,මම කෑම කමි
මම පාඩම් කරමි,Correct,මම පාඩම් කරමි
මම නිදාගන්නවා,Incorrect,මම නිදියන්නෙමි
අපි පාඩම් කරමු,Correct,අපි පාඩම් කරමු
අපි කෑම කමු,Correct,අපි කෑම කමු
අපි ගමනක් යමු,Correct,අපි ගමනක් යමු
අපි ගෙදර යන්නෙමු,Correct,අපි ගෙදර යන්නෙමු
මම පොත් කියවමි.,Correct,මම පොත් කියවමි.
මම  මුද්දර එකතුකරමි.,Correct,මම  මුද්දර එකතුකරමි.
මම ගීතය අහමි.,Correct,මම ගීතය අහමි.
මම කාර්යයක් සිදු කරමි.,Correct,මම කාර්යයක් සිදු කරමි.
මම ගමනක් යමි.,Correct,මම ගමනක් යමි.
මම සංගීතය රසවිඳිමි.,Correct,මම සංගීතය රසවිඳිමි.
මම ව්‍යායාම කරමි.,Correct,මම ව්‍යායාම කරමි.
මම උත්සවයට සම්බන්ධ වෙමි.,Correct,මම උත්සවයට සම්බන්ධ වෙමි.
මම සාමික වූ බව පවසමි.,Correct,මම සාමික වූ බව පවසමි.
මම රූපයක් ඇඳමි.,Correct,මම රූපයක් ඇඳමි.
මම කාර්යබහුල වෙමි.,Correct,මම කාර්යබහුල වෙමි.
මම නිවස ගැසූවා.,Correct,මම නිවස ගැසූවා.
මම සමාජ සේවය කරමි.,Correct,මම සමාජ සේවය කරමි.
මම චිත්‍රපටයක් නිඹමින් සිටිමි.,Correct,මම චිත්‍රපටයක් නිඹමින් සිටිමි.
මම සාමූහික වැඩකට සම්බන්ධ වෙමි.,Correct,මම සාමූහික වැඩකට සම්බන්ධ වෙමි.
මම වෙළඳපොළේ සවාරි කරන්නෙමි.,Correct,මම වෙළඳපොළේ සවාරි කරන්නෙමි.
මම අරමුණක් ඇතිකරමි.,Correct,මම අරමුණක් ඇතිකරමි.
මම විනෝද වෙමි.,Correct,මම විනෝද වෙමි.
මම අවධානයට ගමි.,Correct,මම අවධානයට ගමි.
මම ගීතයක් කියමි.,Correct,මම ගීතයක් කියමි.
මම මාතෘකාවක් විස්තර කරමි.,Correct,මම මාතෘකාවක් විස්තර කරමි.
මම නළුවෙක් වන්නේ.,Correct,මම නළුවෙක් වන්නේ.
මම කාර්යක් සම්පුර්ණ කරමි.,Correct,මම කාර්යක් සම්පුර්ණ කරමි.
මම සංචාරකයකු වන්නේ.,Correct,මම සංචාරකයකු වන්නේ.
මම පරිසර සුරක්ෂිතකරුවෙකි.,Correct,මම පරිසර සුරක්ෂිතකරුවෙකි.
මම පරිවෘත්තීයත්වයකින් පරිවාසකරමි.,Correct,මම පරිවෘත්තීයත්වයකින් පරිවාසකරමි.
මම විද්‍යාව අධ්‍යයනය කරමි.,Correct,මම විද්‍යාව අධ්‍යයනය කරමි.
මම හේතුගත කරමි.,Correct,මම හේතුගත කරමි.
මම සමූහ සාකච්ඡා වේදිකාවකින් සම්බන්ධ වෙමි.,Correct,මම සමූහ සාකච්ඡා වේදිකාවකින් සම්බන්ධ වෙමි.
